YearStart,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValue
2018,AZ,Arizona,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,16812
2012,IN,Indiana,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,18030
2013,ME,Maine,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,3676
2013,WA,Washington,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,14408
2011,WI,Wisconsin,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,14896
2017,US,United States,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,859125
2015,LA,Louisiana,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,10665
2017,HI,Hawaii,NVSS,Cardiovascular Disease,Mortality from heart failure,1133
2013,MN,Minnesota,NVSS,Cardiovascular Disease,Mortality from heart failure,5731
2017,MN,Minnesota,NVSS,Cardiovascular Disease,Mortality from heart failure,7167
2015,MO,Missouri,NVSS,Cardiovascular Disease,Mortality from heart failure,7477
2012,VA,Virginia,NVSS,Cardiovascular Disease,Mortality from heart failure,6390
2012,MO,Missouri,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5519
2012,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3875
2014,KS,Kansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1865
2017,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,892
2018,IN,Indiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6567
2015,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2329
2017,NE,Nebraska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1591
2015,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4231
2012,NC,North Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,9268
2010,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3177
2011,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1022
2015,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5399
2017,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6866
2010,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2711
